iter	RMSE
0	14.00293704
1	13.10075263
2	12.27580639
3	11.53096249
4	10.830431
5	10.25706321
6	9.746114746
7	9.293929443
8	8.88766779
9	8.480572438
10	8.124657378
11	7.834424261
12	7.590564829
13	7.361250937
14	7.12082075
15	6.889449618
16	6.704827343
17	6.555478184
18	6.405085744
19	6.27284254
20	6.153017304
21	6.062929035
22	5.968388598
23	5.876809566
24	5.793944187
25	5.739477903
26	5.672850979
27	5.631069772
28	5.584502358
29	5.540229032
30	5.493938932
31	5.461156489
32	5.420940209
33	5.391537275
34	5.362664869
35	5.336743106
36	5.316418384
37	5.287401002
38	5.26933335
39	5.246349502
40	5.226009373
41	5.212602214
42	5.195333424
43	5.180058965
44	5.167002285
45	5.147248088
46	5.123481198
47	5.109888346
48	5.093005619
49	5.077633544
50	5.064204419
51	5.04754041
52	5.036041667
53	5.013674427
54	5.001897547
55	4.99468815
56	4.979703478
57	4.953716627
58	4.940505105
59	4.935868258
60	4.927856863
61	4.922291031
62	4.912818304
63	4.895115666
64	4.887597293
65	4.878429565
66	4.87387694
67	4.864015931
68	4.858831256
69	4.843490624
70	4.83189978
71	4.823242775
72	4.812634448
73	4.79964049
74	4.792394728
75	4.782643831
76	4.772178557
77	4.764106895
78	4.756644453
79	4.750886727
80	4.746633109
81	4.736623517
82	4.727455327
83	4.713909486
84	4.694000833
85	4.684361587
86	4.680203256
87	4.660692133
88	4.642518214
89	4.636848421
90	4.628594094
91	4.618976376
92	4.612316611
93	4.603867411
94	4.598272187
95	4.595268559
96	4.587207776
97	4.568880964
98	4.558358667
99	4.552453273
