iter	Passed	Remaining
0	150	150841
1	153	76520
2	155	51827
3	159	39591
4	162	32254
5	165	27457
6	167	23814
7	169	21003
8	171	18829
9	172	17055
10	174	15672
11	197	16244
12	200	15237
13	202	14234
14	204	13428
15	236	14565
16	239	13826
17	240	13109
18	241	12452
19	242	11862
20	243	11341
21	244	10856
22	245	10414
23	246	10010
24	247	9634
25	249	9334
26	251	9064
27	253	8814
28	255	8542
29	256	8298
30	257	8059
31	259	7840
32	260	7631
33	261	7428
34	262	7234
35	263	7053
36	264	6881
37	265	6715
38	277	6840
39	278	6686
40	279	6536
41	280	6392
42	281	6253
43	282	6129
44	283	6011
45	284	5892
46	284	5778
47	285	5668
48	286	5563
49	287	5461
50	288	5362
51	289	5269
52	289	5177
53	290	5089
54	291	5005
55	292	4923
56	292	4847
57	293	4773
58	295	4707
59	296	4637
60	296	4566
61	297	4499
62	298	4433
63	298	4370
64	299	4308
65	300	4248
66	300	4189
67	301	4134
68	302	4083
69	303	4030
70	304	3978
71	304	3928
72	305	3878
73	306	3831
74	306	3784
75	307	3739
76	308	3695
77	308	3651
78	309	3613
79	310	3574
80	311	3534
81	312	3495
82	312	3453
83	313	3416
84	314	3380
85	314	3344
86	315	3311
87	316	3277
88	317	3245
89	317	3213
90	318	3181
91	319	3149
92	319	3119
93	320	3090
94	321	3061
95	321	3032
96	322	3004
97	323	2976
98	324	2949
99	325	2927
100	326	2903
101	326	2877
102	327	2852
103	328	2828
104	329	2804
105	329	2780
106	330	2757
107	331	2737
108	332	2715
109	332	2693
110	333	2672
111	334	2651
112	335	2630
113	335	2609
114	336	2589
115	337	2569
116	337	2549
117	338	2530
118	339	2511
119	340	2498
120	341	2481
121	342	2463
122	343	2446
123	343	2429
124	344	2412
125	345	2398
126	346	2381
127	347	2365
128	347	2349
129	348	2333
130	349	2317
131	350	2302
132	350	2286
133	351	2271
134	352	2256
135	352	2241
136	353	2227
137	354	2213
138	355	2200
139	356	2188
140	357	2175
141	357	2160
142	358	2146
143	358	2133
144	359	2122
145	360	2110
146	362	2100
147	362	2089
148	364	2080
149	365	2068
150	366	2060
151	367	2052
152	369	2044
153	370	2034
154	371	2024
155	372	2013
156	372	2002
157	373	1991
158	374	1980
159	375	1969
160	375	1957
161	376	1946
162	377	1936
163	377	1925
164	378	1915
165	379	1905
166	379	1895
167	380	1885
168	381	1875
169	382	1865
170	382	1856
171	384	1850
172	385	1843
173	386	1835
174	387	1828
175	388	1819
176	389	1810
177	390	1801
178	390	1792
179	391	1783
180	392	1774
181	392	1765
182	393	1757
183	394	1748
184	394	1739
185	395	1731
186	396	1723
187	397	1714
188	397	1706
189	398	1698
190	399	1690
191	399	1683
192	400	1676
193	401	1669
194	403	1665
195	404	1658
196	404	1650
197	405	1643
198	406	1635
199	407	1628
200	407	1620
201	408	1613
202	409	1606
203	409	1599
204	410	1592
205	411	1585
206	412	1578
207	412	1571
208	413	1564
209	414	1558
210	415	1551
211	416	1546
212	417	1541
213	417	1534
214	418	1527
215	419	1521
216	419	1515
217	420	1509
218	421	1503
219	422	1496
220	422	1490
221	423	1484
222	424	1478
223	424	1472
224	425	1465
225	426	1459
226	426	1454
227	427	1448
228	428	1442
229	429	1436
230	429	1431
231	431	1427
232	432	1422
233	432	1416
234	433	1411
235	434	1405
236	434	1400
237	435	1394
238	436	1389
239	436	1383
240	437	1378
241	438	1373
242	439	1368
243	439	1363
244	440	1358
245	441	1352
246	442	1347
247	442	1342
248	443	1337
249	460	1382
250	462	1379
251	463	1375
252	464	1370
253	464	1364
254	465	1360
255	466	1356
256	467	1352
257	468	1347
258	469	1343
259	470	1338
260	471	1334
261	472	1330
262	473	1326
263	474	1321
264	475	1317
265	476	1313
266	477	1309
267	477	1304
268	478	1300
269	479	1295
270	480	1291
271	481	1287
272	481	1283
273	482	1278
274	483	1274
275	484	1270
276	485	1266
277	485	1261
278	486	1257
279	487	1254
280	488	1250
281	489	1246
282	490	1242
283	491	1237
284	491	1234
285	493	1231
286	494	1228
287	495	1225
288	496	1221
289	497	1217
290	498	1213
291	498	1209
292	499	1205
293	500	1201
294	501	1197
295	501	1193
296	502	1189
297	503	1185
298	504	1182
299	504	1178
300	505	1174
301	506	1170
302	507	1167
303	509	1165
304	509	1161
305	510	1158
306	511	1154
307	512	1150
308	512	1147
309	513	1143
310	514	1140
311	515	1136
312	516	1133
313	517	1129
314	518	1126
315	518	1123
316	519	1119
317	520	1116
318	521	1112
319	522	1109
320	523	1107
321	524	1104
322	525	1101
323	526	1097
324	527	1094
325	527	1091
326	528	1088
327	529	1085
328	530	1082
329	531	1078
330	532	1075
331	532	1072
332	533	1068
333	534	1065
334	534	1061
335	535	1058
336	536	1055
337	537	1053
338	538	1050
339	539	1047
340	540	1044
341	541	1041
342	542	1038
343	543	1035
344	544	1033
345	544	1029
346	545	1026
347	546	1023
348	547	1020
349	547	1017
350	548	1014
351	549	1010
352	549	1007
353	550	1004
354	551	1001
355	552	1000
356	553	997
357	554	994
358	555	991
359	556	988
360	557	986
361	558	983
362	558	980
363	559	977
364	560	974
365	560	971
366	561	968
367	562	965
368	563	962
369	563	959
370	564	957
371	565	954
372	565	951
373	567	949
374	568	947
375	569	944
376	570	942
377	570	939
378	571	936
379	572	934
380	573	931
381	574	929
382	575	926
383	575	923
384	576	920
385	577	918
386	577	915
387	578	912
388	579	909
389	579	907
390	580	904
391	581	902
392	583	900
393	584	898
394	585	896
395	586	894
396	587	891
397	587	889
398	589	887
399	590	885
400	590	882
401	591	880
402	592	877
403	593	875
404	594	873
405	595	870
406	595	868
407	596	866
408	598	864
409	599	862
410	600	860
411	601	857
412	601	855
413	602	852
414	603	850
415	604	848
416	605	846
417	606	844
418	607	842
419	608	839
420	608	837
421	609	835
422	610	832
423	611	830
424	612	829
425	614	827
426	614	825
427	615	822
428	616	820
429	617	818
430	617	815
431	618	813
432	619	811
433	620	808
434	620	806
435	621	804
436	622	802
437	623	799
438	623	797
439	624	795
440	625	792
441	626	790
442	627	789
443	628	787
444	629	785
445	630	783
446	631	780
447	632	778
448	633	776
449	633	774
450	634	772
451	635	770
452	636	768
453	636	765
454	637	763
455	638	761
456	638	759
457	639	757
458	640	755
459	641	753
460	643	751
461	643	749
462	644	747
463	645	745
464	646	743
465	647	741
466	647	739
467	648	737
468	649	735
469	650	733
470	651	731
471	651	729
472	652	727
473	653	725
474	654	723
475	655	721
476	655	719
477	657	718
478	658	716
479	659	714
480	659	712
481	660	710
482	661	708
483	662	706
484	663	704
485	664	702
486	664	700
487	665	698
488	666	696
489	667	694
490	667	692
491	668	690
492	669	688
493	670	686
494	671	685
495	672	683
496	674	682
497	674	680
498	675	678
499	676	676
500	677	674
501	677	672
502	679	670
503	679	669
504	680	667
505	706	689
506	707	688
507	708	686
508	709	684
509	710	682
510	711	680
511	712	678
512	712	676
513	713	674
514	714	672
515	714	670
516	715	668
517	716	666
518	717	665
519	718	663
520	720	661
521	720	660
522	721	658
523	722	656
524	723	654
525	723	652
526	725	651
527	726	649
528	728	648
529	730	647
530	731	646
531	732	644
532	733	642
533	734	641
534	735	639
535	736	637
536	736	635
537	737	633
538	738	631
539	739	629
540	740	628
541	741	626
542	741	624
543	742	622
544	743	620
545	743	618
546	744	616
547	745	615
548	746	613
549	747	611
550	748	609
551	749	608
552	750	606
553	751	604
554	752	602
555	753	601
556	753	599
557	754	598
558	755	596
559	756	594
560	757	592
561	757	590
562	758	588
563	759	586
564	760	585
565	760	583
566	761	581
567	762	579
568	763	578
569	764	576
570	765	574
571	766	573
572	766	571
573	767	569
574	768	568
575	769	566
576	770	564
577	770	562
578	771	561
579	772	559
580	773	557
581	773	555
582	774	554
583	775	552
584	776	550
585	777	548
586	777	547
587	778	545
588	779	544
589	780	542
590	781	540
591	782	539
592	783	537
593	784	536
594	785	534
595	785	532
596	786	530
597	787	529
598	788	527
599	788	525
600	790	524
601	790	522
602	791	521
603	792	519
604	793	517
605	794	516
606	795	514
607	796	513
608	797	512
609	798	510
610	799	508
611	799	507
612	800	505
613	801	503
614	802	502
615	803	500
616	803	499
617	804	497
618	805	495
619	806	494
620	806	492
621	807	490
622	808	489
623	809	488
624	810	486
625	811	485
626	812	483
627	813	481
628	814	480
629	815	478
630	815	477
631	816	475
632	817	473
633	818	472
634	819	470
635	819	469
636	820	467
637	821	465
638	822	464
639	823	462
640	824	461
641	825	460
642	826	458
643	827	457
644	827	455
645	828	454
646	829	452
647	830	451
648	831	449
649	832	448
650	832	446
651	833	444
652	834	443
653	834	441
654	835	440
655	836	438
656	837	437
657	839	436
658	840	434
659	840	433
660	841	431
661	842	430
662	842	428
663	843	426
664	844	425
665	845	423
666	846	422
667	847	421
668	848	419
669	848	418
670	849	416
671	850	415
672	851	413
673	852	412
674	854	411
675	855	410
676	856	408
677	857	407
678	858	405
679	858	404
680	859	402
681	860	401
682	861	399
683	861	398
684	862	396
685	863	395
686	864	393
687	865	392
688	866	390
689	866	389
690	868	388
691	869	387
692	870	385
693	871	384
694	872	382
695	872	381
696	873	379
697	874	378
698	875	377
699	876	375
700	877	374
701	878	372
702	878	371
703	879	369
704	880	368
705	881	367
706	882	365
707	883	364
708	884	362
709	885	361
710	885	360
711	886	358
712	887	357
713	887	355
714	888	354
715	889	352
716	890	351
717	890	349
718	891	348
719	892	346
720	892	345
721	893	344
722	894	342
723	895	341
724	896	340
725	897	338
726	898	337
727	899	335
728	899	334
729	900	333
730	901	331
731	902	330
732	902	328
733	903	327
734	904	325
735	904	324
736	905	323
737	906	321
738	906	320
739	908	319
740	909	317
741	910	316
742	911	315
743	912	313
744	913	312
745	914	311
746	914	309
747	915	308
748	916	307
749	917	305
750	918	304
751	919	303
752	939	308
753	943	307
754	945	306
755	948	306
756	950	304
757	952	304
758	954	302
759	955	301
760	958	301
761	960	299
762	962	298
763	963	297
764	965	296
765	966	295
766	968	294
767	969	292
768	971	291
769	973	290
770	974	289
771	976	288
772	977	287
773	979	286
774	980	284
775	982	283
776	983	282
777	985	281
778	987	280
779	989	278
780	990	277
781	992	276
782	998	276
783	999	275
784	1001	274
785	1002	273
786	1004	271
787	1005	270
788	1006	269
789	1009	268
790	1010	267
791	1011	265
792	1013	264
793	1014	263
794	1017	262
795	1020	261
796	1022	260
797	1024	259
